Flow,Trigger,Emails sent,Emails delivered,Delivery rate,Emails opened,Open rate,Emails clicked,Click rate,Bounced emails,Bounce rate,Unsubscribed,Unsubscribe rate,Spam reports,Spam complaint rate,Email attributed orders,Email attributed revenue
Summary,-,"11,729","11,708",99.82%,"5,289",45.17%,"1,446",12.35%,22,0.19%,15,0.46%,0,0.00%,24,"$1,278.21 "
When shipment updates to in transit,In transit,"5,912","5,909",99.95%,"2,679",45.34%,859,14.54%,4,0.07%,5,0.22%,0,0.00%,,
Delivery arriving soon,Delivery arriving soon,"1,455","1,455",100.00%,684,47.01%,286,19.66%,0,0.00%,0,0.00%,0,0.00%,,
comment & nps,Delivered,"1,348","1,348",100.00%,616,45.70%,28,2.08%,0,0.00%,7,0.54%,0,0.00%,,
Order placed,Order placed,"1,311","1,295",98.78%,620,47.88%,114,8.80%,16,1.22%,2,0.16%,0,0.00%,,
Delivered,Delivered,"1,061","1,059",99.81%,428,40.42%,86,8.12%,2,0.19%,0,0.00%,0,0.00%,,
Delivered - TEST,Delivered,408,408,100.00%,157,38.48%,34,8.33%,0,0.00%,0,0.00%,0,0.00%,,
Split order shipments updated (digest),Split order shipments updated (digest),162,162,100.00%,75,46.30%,22,13.58%,0,0.00%,0,0.00%,0,0.00%,,
Order canceled,Order canceled,33,33,100.00%,12,36.36%,1,3.03%,0,0.00%,1,4.00%,0,0.00%,,
Exception,Exception,30,30,100.00%,15,50.00%,15,50.00%,0,0.00%,0,0.00%,0,0.00%,,
Failed attempt,Failed attempt,9,9,100.00%,3,33.33%,1,11.11%,0,0.00%,0,0.00%,0,0.00%,,
